,loss,topk,val_loss,val_topk,lr
54,7.1681399047374725,0.8405761886388063,4.21679162979126,0.1614583432674408,0.0009996432348978964
55,7.132106423377991,0.8555094581097364,4.199113368988037,0.1627604216337204,0.0009996287777457168
56,7.258617028594017,0.8403727449476719,4.205045223236084,0.1627604216337204,0.0009996140335683515
57,7.111277848482132,0.8382568564265966,4.203446865081787,0.1588541716337204,0.0009995990023742712
58,6.964322537183762,0.8529459834098816,4.156705379486084,0.1640625,0.000999583684172111
59,7.040800556540489,0.8479411024600267,4.245568752288818,0.1666666716337204,0.0009995680789706715
60,6.971718892455101,0.8566894754767418,4.212139129638672,0.1549479216337204,0.0009995521867789178
61,7.1842425763607025,0.8267415594309568,4.258525848388672,0.15625,0.00099953600760598
62,6.916052281856537,0.8639323078095913,4.301966190338135,0.1432291716337204,0.000999519541461153
63,6.932148352265358,0.8597819227725267,4.3533616065979,0.14453125,0.0009995027883538963
64,7.021679773926735,0.8401692938059568,4.234046936035156,0.1666666716337204,0.0009994857482938351
65,7.31485678255558,0.844116223976016,4.310746669769287,0.1341145932674408,0.0009994684212907587
66,6.935610309243202,0.8568929247558117,4.22601842880249,0.1653645932674408,0.0009994508073546213
67,7.241860255599022,0.8329264540225267,4.163537502288818,0.1653645932674408,0.0009994329064955424
68,6.928474918007851,0.8609619345515966,4.168778896331787,0.1640625,0.0009994147187238056
69,6.982044741511345,0.8625895380973816,,0.1510416716337204,0.0009993962440498602
70,7.030749261379242,0.8333333563059568,4.2715606689453125,0.1588541716337204,0.0009993774824843195
71,7.024738535284996,0.8384603057056665,4.210054874420166,0.1627604216337204,0.0009993584340379626
72,7.102267429232597,0.8487142156809568,4.4068756103515625,0.125,0.0009993390987217323
73,8.396881997585297,0.7856038585305214,4.385141849517822,0.1393229216337204,0.0009993194765467368
74,8.734184443950653,0.7618001475930214,4.3779144287109375,0.12890625,0.0009992995675242493
75,8.797311767935753,0.7466227412223816,4.275781154632568,0.1536458432674408,0.0009992793716657074
76,8.386470526456833,0.7838948722928762,4.302925109863281,0.1484375,0.0009992588889827137
77,8.390763610601425,0.798665389418602,4.196938991546631,0.1588541716337204,0.0009992381194870352
78,8.088831797242165,0.807657903060317,4.180563449859619,0.1653645932674408,0.0009992170631906042
79,8.089837431907654,0.8093668855726719,4.2949395179748535,0.1471354216337204,0.0009991957201055176
80,8.099172234535217,0.8101806864142418,4.190638065338135,0.1640625,0.0009991740902440369
81,7.783993110060692,0.8216552939265966,4.186698913574219,0.1640625,0.0009991521736185884
82,7.5972374230623245,0.8380127120763063,4.177614688873291,0.1692708432674408,0.0009991299702417633
83,7.734937027096748,0.8346354346722364,4.288266658782959,0.1536458432674408,0.0009991074801263173
84,7.817936688661575,0.8219401258975267,4.218387603759766,0.1588541716337204,0.0009990847032851711
